idProduct,collector_number,card_name,url,status,http_status,sha256,cache_file,reverse_filter_visible,condition_filter_visible,language_filter_visible,low_or_from_visible,notes
719663,207,Basic Energy,https://www.cardmarket.com/en/Pokemon/Products/Singles/151/Basic-Energy-V1-MEW207,BLOCKED,403,8973a02d0498d832ce4131dd13df5a81c266e5ef1c548a8079cc5a57d586959c,8973a02d0498d832ce4131dd13df5a81c266e5ef1c548a8079cc5a57d586959c.bin,False,True,False,False,"No bypass; blocked responses stay evidence, not a negative semantic conclusion."
719453,011,Metapod,https://www.cardmarket.com/en/Pokemon/Products/Singles/151/Metapod-V1-MEW011,BLOCKED,403,b65f444093c48feb15215681fac97d3827cdf68d299bbd0787978caf43044cf1,b65f444093c48feb15215681fac97d3827cdf68d299bbd0787978caf43044cf1.bin,False,True,False,False,"No bypass; blocked responses stay evidence, not a negative semantic conclusion."
719454,012,Butterfree,https://www.cardmarket.com/en/Pokemon/Products/Singles/151/Butterfree-V1-MEW012,BLOCKED,403,0c99330fa3b8537636e6a823f018f96a738ba755fde789fc048939e0092466cd,0c99330fa3b8537636e6a823f018f96a738ba755fde789fc048939e0092466cd.bin,False,True,False,False,"No bypass; blocked responses stay evidence, not a negative semantic conclusion."
719455,013,Weedle,https://www.cardmarket.com/en/Pokemon/Products/Singles/151/Weedle-V1-MEW013,BLOCKED,403,e2e39d0bddbbc95eb78eb3c071ac9290c9dd27fed3e59bb05a5a6395821e5bb5,e2e39d0bddbbc95eb78eb3c071ac9290c9dd27fed3e59bb05a5a6395821e5bb5.bin,False,True,False,False,"No bypass; blocked responses stay evidence, not a negative semantic conclusion."
719456,014,Kakuna,https://www.cardmarket.com/en/Pokemon/Products/Singles/151/Kakuna-V1-MEW014,BLOCKED,403,19545f917f7fccc0ddeeb622bcb8ca01f1473c32587034de4e439db537e488cb,19545f917f7fccc0ddeeb622bcb8ca01f1473c32587034de4e439db537e488cb.bin,False,True,False,False,"No bypass; blocked responses stay evidence, not a negative semantic conclusion."
719457,015,Beedrill,https://www.cardmarket.com/en/Pokemon/Products/Singles/151/Beedrill-V1-MEW015,BLOCKED,403,7ec407cd76c922c1e0f4a71dd0652ab1bb9fcc4d18af0186e55fdc1029fbb5e2,7ec407cd76c922c1e0f4a71dd0652ab1bb9fcc4d18af0186e55fdc1029fbb5e2.bin,False,True,False,False,"No bypass; blocked responses stay evidence, not a negative semantic conclusion."
719458,016,Pidgey,https://www.cardmarket.com/en/Pokemon/Products/Singles/151/Pidgey-V1-MEW016,BLOCKED,403,d593e9243a7fa67db1e3b2feb2508945a2c7d7300d31fcd5caa4f61dbf2c3edb,d593e9243a7fa67db1e3b2feb2508945a2c7d7300d31fcd5caa4f61dbf2c3edb.bin,False,True,False,False,"No bypass; blocked responses stay evidence, not a negative semantic conclusion."
719459,017,Pidgeotto,https://www.cardmarket.com/en/Pokemon/Products/Singles/151/Pidgeotto-V1-MEW017,BLOCKED,403,b8cf8324c79e40c949f42602ceb5e9b56a5e8d4ba993d8620dcc47926246097b,b8cf8324c79e40c949f42602ceb5e9b56a5e8d4ba993d8620dcc47926246097b.bin,False,True,False,False,"No bypass; blocked responses stay evidence, not a negative semantic conclusion."
719460,018,Pidgeot,https://www.cardmarket.com/en/Pokemon/Products/Singles/151/Pidgeot-V1-MEW018,BLOCKED,403,833857051b582997666d00cf67f8c96f8446ef04acb0151c45403398a107ac23,833857051b582997666d00cf67f8c96f8446ef04acb0151c45403398a107ac23.bin,False,True,False,False,"No bypass; blocked responses stay evidence, not a negative semantic conclusion."
719461,019,Rattata,https://www.cardmarket.com/en/Pokemon/Products/Singles/151/Rattata-V1-MEW019,BLOCKED,403,ce92a1e11440b3691e57105c552673f7d2a730853734a424cefb01396ddfaf13,ce92a1e11440b3691e57105c552673f7d2a730853734a424cefb01396ddfaf13.bin,False,True,False,False,"No bypass; blocked responses stay evidence, not a negative semantic conclusion."
719462,020,Raticate,https://www.cardmarket.com/en/Pokemon/Products/Singles/151/Raticate-V1-MEW020,BLOCKED,403,fb2ba229f46d6af934babd2f09065755c7f23eb57c9dda4331f29490483a810b,fb2ba229f46d6af934babd2f09065755c7f23eb57c9dda4331f29490483a810b.bin,False,True,False,False,"No bypass; blocked responses stay evidence, not a negative semantic conclusion."
719463,021,Spearow,https://www.cardmarket.com/en/Pokemon/Products/Singles/151/Spearow-V1-MEW021,BLOCKED,403,3b9c2a4211d1d1021f077913701c2be863bf702d1fa3ff40a60b8e3a5236a619,3b9c2a4211d1d1021f077913701c2be863bf702d1fa3ff40a60b8e3a5236a619.bin,False,True,False,False,"No bypass; blocked responses stay evidence, not a negative semantic conclusion."
719464,022,Fearow,https://www.cardmarket.com/en/Pokemon/Products/Singles/151/Fearow-V1-MEW022,BLOCKED,403,9dc31c91601092442bc542701ab342b99e7031f207911cadc67f6d0e95988a67,9dc31c91601092442bc542701ab342b99e7031f207911cadc67f6d0e95988a67.bin,False,True,False,False,"No bypass; blocked responses stay evidence, not a negative semantic conclusion."
719465,023,Ekans,https://www.cardmarket.com/en/Pokemon/Products/Singles/151/Ekans-V1-MEW023,BLOCKED,403,12a4b5083a48a2f4ba7bd887f92b8dfe03448cb9725f3554d3cbbe02a5690e4a,12a4b5083a48a2f4ba7bd887f92b8dfe03448cb9725f3554d3cbbe02a5690e4a.bin,False,True,False,False,"No bypass; blocked responses stay evidence, not a negative semantic conclusion."
719468,026,Raichu,https://www.cardmarket.com/en/Pokemon/Products/Singles/151/Raichu-V1-MEW026,BLOCKED,403,b714f89c29ff1c32d33d0db12168c3c779266f48dc65977d1abdad973af7567b,b714f89c29ff1c32d33d0db12168c3c779266f48dc65977d1abdad973af7567b.bin,False,True,False,False,"No bypass; blocked responses stay evidence, not a negative semantic conclusion."
719469,027,Sandshrew,https://www.cardmarket.com/en/Pokemon/Products/Singles/151/Sandshrew-V1-MEW027,BLOCKED,403,26c036164eb22ec8349ed877bb02d8b061df287871e7cd28024a9513b725e32e,26c036164eb22ec8349ed877bb02d8b061df287871e7cd28024a9513b725e32e.bin,False,True,False,False,"No bypass; blocked responses stay evidence, not a negative semantic conclusion."
719470,028,Sandslash,https://www.cardmarket.com/en/Pokemon/Products/Singles/151/Sandslash-V1-MEW028,BLOCKED,403,ca7372033d1d2692b1193112e24a1cf00b34018d24bdaa664fdf61473a80235e,ca7372033d1d2692b1193112e24a1cf00b34018d24bdaa664fdf61473a80235e.bin,False,True,False,False,"No bypass; blocked responses stay evidence, not a negative semantic conclusion."
719471,029,Nidoran♀,https://www.cardmarket.com/en/Pokemon/Products/Singles/151/Nidoran-V1-MEW029,BLOCKED,403,87a35a34eac230c0777eade9de855f149c9f755a0401e2daf014cad9e933c0be,87a35a34eac230c0777eade9de855f149c9f755a0401e2daf014cad9e933c0be.bin,False,True,False,False,"No bypass; blocked responses stay evidence, not a negative semantic conclusion."
719472,030,Nidorina,https://www.cardmarket.com/en/Pokemon/Products/Singles/151/Nidorina-V1-MEW030,BLOCKED,403,1a52f9ca94a44aaefa070b74886ccbc6362814018ab132d74f5ea60de1769490,1a52f9ca94a44aaefa070b74886ccbc6362814018ab132d74f5ea60de1769490.bin,False,True,False,False,"No bypass; blocked responses stay evidence, not a negative semantic conclusion."
719473,031,Nidoqueen,https://www.cardmarket.com/en/Pokemon/Products/Singles/151/Nidoqueen-V1-MEW031,BLOCKED,403,22fa5316dfab3efc1d1892f4ee9f4fff16243bb7aa6dde6e5051608e3879efe7,22fa5316dfab3efc1d1892f4ee9f4fff16243bb7aa6dde6e5051608e3879efe7.bin,False,True,False,False,"No bypass; blocked responses stay evidence, not a negative semantic conclusion."
