idProduct,collector_number,card_name,rarity,internal_finishes,cardmarket_url,reverse_filter_present,default_from,default_trend,default_avg1,default_avg7,default_avg30,reverse_filter_method,filtered_reverse_from,filtered_reverse_trend,filtered_reverse_avg1,filtered_reverse_avg7,filtered_reverse_avg30,observation_status,evidence_source,evidence_sha256,notes,version,rule_group
719453,011,Metapod,"[""Common""]","[""normal"",""reverse_holo""]",https://www.cardmarket.com/en/Pokemon/Products/Singles/151/Metapod-V1-MEW011,UNKNOWN,,,,,,not_observable,,,,,,BLOCKED,https://www.cardmarket.com/en/Pokemon/Products/Singles/151/Metapod-V1-MEW011,a5187c6a6148c930809fed7b0e707808a8e83575ac7d21ed1f87bab3e0d6954e,Page observations are evidence only; no numeric value is persisted to DB.,1,normal_reverse_holo
719454,012,Butterfree,"[""Uncommon""]","[""normal"",""reverse_holo""]",https://www.cardmarket.com/en/Pokemon/Products/Singles/151/Butterfree-V1-MEW012,UNKNOWN,,,,,,not_observable,,,,,,BLOCKED,https://www.cardmarket.com/en/Pokemon/Products/Singles/151/Butterfree-V1-MEW012,a8d0244919fb96ed2a768b4b6a3e26ebe42d6c32693ca1349e2dc3c182e06ef3,Page observations are evidence only; no numeric value is persisted to DB.,1,normal_reverse_holo
719455,013,Weedle,"[""Common""]","[""normal"",""reverse_holo""]",https://www.cardmarket.com/en/Pokemon/Products/Singles/151/Weedle-V1-MEW013,UNKNOWN,,,,,,not_observable,,,,,,BLOCKED,https://www.cardmarket.com/en/Pokemon/Products/Singles/151/Weedle-V1-MEW013,065011e8d4c14ebb34b7b46b8889366cd2ad69507512dc44a2e981d9ec2f0f73,Page observations are evidence only; no numeric value is persisted to DB.,1,normal_reverse_holo
719456,014,Kakuna,"[""Common""]","[""normal"",""reverse_holo""]",https://www.cardmarket.com/en/Pokemon/Products/Singles/151/Kakuna-V1-MEW014,UNKNOWN,,,,,,not_observable,,,,,,BLOCKED,https://www.cardmarket.com/en/Pokemon/Products/Singles/151/Kakuna-V1-MEW014,e764905deddc53c4e6aaf44fda04ffa3742d9abd5ea779951c73aa7fa31dc10c,Page observations are evidence only; no numeric value is persisted to DB.,1,normal_reverse_holo
719458,016,Pidgey,"[""Common""]","[""normal"",""reverse_holo""]",https://www.cardmarket.com/en/Pokemon/Products/Singles/151/Pidgey-V1-MEW016,UNKNOWN,,,,,,not_observable,,,,,,BLOCKED,https://www.cardmarket.com/en/Pokemon/Products/Singles/151/Pidgey-V1-MEW016,6478431c54d3a0f9ab17f45fe1240608d89e8ad636be5585f7b1c41a1155d3b9,Page observations are evidence only; no numeric value is persisted to DB.,1,normal_reverse_holo
719459,017,Pidgeotto,"[""Common""]","[""normal"",""reverse_holo""]",https://www.cardmarket.com/en/Pokemon/Products/Singles/151/Pidgeotto-V1-MEW017,UNKNOWN,,,,,,not_observable,,,,,,BLOCKED,https://www.cardmarket.com/en/Pokemon/Products/Singles/151/Pidgeotto-V1-MEW017,0af08fc305fd980c513f2ea8470f25d6c9fa0887cc0e7e5d552fccc4fadf3036,Page observations are evidence only; no numeric value is persisted to DB.,1,normal_reverse_holo
719457,015,Beedrill,"[""Rare""]","[""holo"",""reverse_holo""]",https://www.cardmarket.com/en/Pokemon/Products/Singles/151/Beedrill-V1-MEW015,UNKNOWN,,,,,,not_observable,,,,,,BLOCKED,https://www.cardmarket.com/en/Pokemon/Products/Singles/151/Beedrill-V1-MEW015,dd5812307751e3722f55b31904f22009be1a5ed7c382e981f8de75e471b59f73,Page observations are evidence only; no numeric value is persisted to DB.,1,holo_reverse_holo
719468,026,Raichu,"[""Rare""]","[""holo"",""reverse_holo""]",https://www.cardmarket.com/en/Pokemon/Products/Singles/151/Raichu-V1-MEW026,UNKNOWN,,,,,,not_observable,,,,,,BLOCKED,https://www.cardmarket.com/en/Pokemon/Products/Singles/151/Raichu-V1-MEW026,ddb99ab911869a6360d42420b6de51b177af282068c2c282d72c31dfdc218d7a,Page observations are evidence only; no numeric value is persisted to DB.,1,holo_reverse_holo
719487,045,Vileplume,"[""Rare""]","[""holo"",""reverse_holo""]",https://www.cardmarket.com/en/Pokemon/Products/Singles/151/Vileplume-V1-MEW045,UNKNOWN,,,,,,not_observable,,,,,,BLOCKED,https://www.cardmarket.com/en/Pokemon/Products/Singles/151/Vileplume-V1-MEW045,f5057d17ed5c022234dbad390d148770f6369d96322983f26e2b7d2acb4c172e,Page observations are evidence only; no numeric value is persisted to DB.,1,holo_reverse_holo
719510,068,Machamp,"[""Rare""]","[""holo"",""reverse_holo""]",https://www.cardmarket.com/en/Pokemon/Products/Singles/151/Machamp-V1-MEW068,UNKNOWN,,,,,,not_observable,,,,,,BLOCKED,https://www.cardmarket.com/en/Pokemon/Products/Singles/151/Machamp-V1-MEW068,54a18c13fd2b866248b2e482104c13ac9d95b2e6b2718b93dcdb6e73f7db6a1a,Page observations are evidence only; no numeric value is persisted to DB.,1,holo_reverse_holo
